,Random Forest,XGBoost,Gradient Boosting,SVR,Neural Network,LSTM,avg
News_Positive_Count,0.00015933566301113742,6.7515357e-06,4.274573922787836e-05,0.003432589339675213,0.002484417493868438,0.0006532807252836146,0.0011298534161265775
News_Negative_Count_Lag1,0.00011061783881667722,8.943303e-05,0.00010857918433875768,0.0034842340701370243,0.0023392089857784725,0.0005499313325931346,0.0011136674068845545
News_Negative_Count,7.315886958699064e-05,1.8478167e-05,1.7692600971066727e-05,0.00304817485660717,0.0027084929923389465,0.0007340386389619145,0.0011000060209903702
Tweet_Count_Lag7,0.0001769399679493607,0.0003057477,0.00028077788697676554,0.001271869647349463,0.004084165240205938,0.00043531719464586394,0.001092469606291616
News_Negative_Count_Lag2,0.0004443688269045002,3.2057123e-05,2.0736570881392576e-05,0.0013368711085814237,0.003877058067082174,0.0007948934356906268,0.0010843308554337589
Daily_Return_Lag1,0.000270664835905287,0.00017507141,0.0001337039036730941,0.00460771518102398,0.00042473971188063125,0.0006729458731826275,0.0010474734867042831
News_Negative_Count_Lag3,0.0002826115194459907,4.5440982e-05,0.0004570187580589484,0.0029734311088416014,0.001776704185482863,0.0006611972173232816,0.0010327339618456598
Close_Lag2,0.000771664814670065,0.00016035969,0.0006307244000987208,0.0009037916927008857,0.0032099166171515436,0.00032630731348780415,0.001000460754717949
Tweet_Count_Lag1,0.0006169770558189184,0.00019369354,0.00012984792469791749,0.0016562722965691803,0.003049907481636475,0.0003223887517627065,0.0009948478424364607
News_Negative_Count_Lag7,0.00012000620210987604,0.00012211472,5.951461313609316e-05,0.00231880919480083,0.002694548909974144,0.00031259580337511544,0.0009379315747235559
News_Count,5.885802247674783e-06,5.422205e-06,0.0,0.001875641330002783,0.0032141178801086876,0.00041541191917933597,0.0009194131894313134
Tweet_Neutral_Count_Lag1,0.00034716356986556554,9.024955e-05,0.0001230674530127431,0.0029458517179624887,0.0013073972078970846,0.0006343621302875211,0.0009080152718640072
Tweet_Neutral_Count_Lag2,0.00024967073081958363,0.00012620083,0.0002755231868206743,0.0023321841795754883,0.0019082199586353522,0.00017377956405918872,0.0008442630749820189
Close_Lag7,0.0007607197404347878,0.00022636479,0.00020823290657209155,0.0010810167168859312,0.0021791706175076004,0.0005921242870571087,0.0008412715099363281
Low,0.0007147047572919137,7.27365e-05,0.00034102125635079096,0.0015906181954083818,0.0016984040107999774,0.00040858235246371674,0.0008043445115198436
Tweet_Count_Lag3,0.0007475940222570027,0.00048152354,0.00020709851824853316,0.0010597281499379,0.001835568303077144,0.0001808918295813742,0.000752067394566119
High,0.0005289681334618245,9.2103895e-05,2.2984973991228072e-05,0.0004578659510594581,0.0027072488468663438,0.0005067337679422607,0.0007193175947935579
News_Count_Lag3,3.77331097669442e-05,0.0,3.817546937897107e-05,0.001477406465310661,0.0019560392659526654,0.0004313116537349538,0.0006567776606906992
Tweet_Negative_Count,0.0002281095578562273,2.0156749e-05,7.271820477496942e-05,0.0011892346108045122,0.0016447800715214623,0.000784271066036697,0.0006565450433469146
News_Count_Lag1,3.296112657173859e-05,0.0,2.762818424956348e-05,0.0007384002386984917,0.0023920319622383244,0.0007349462085269083,0.0006543279533808378
Close_Lag1,0.00029969999015081323,2.183295e-06,7.587726910939134e-05,0.0008577030093148214,0.0021623668662646605,0.0003420613113090567,0.0006233152901930693
News_Count_Lag2,1.3925745693305432e-05,0.0,1.303681063656391e-05,0.0010885281834559803,0.000901742883927677,0.0004182906689018271,0.00040592071543589227
MA7,0.0003592182165281116,7.3541174e-05,3.7498995069918613e-05,0.0005169986373523502,0.000561299758265472,0.00020646204139830184,0.00029250313711246987
